电影名,年份,网址
腓尼基计划,2025-05-18(戛纳国际电影节)/2025-05-30(美国点映)/2025-06-06(美国),magnet:?xt=urn:btih:f3a738e8de59720312a71607274acac6a0c7308f&dn=[电影天堂www.dytt8899.com]腓尼基计划-2025_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
绿衣骑士,2021-07-30(美国),magnet:?xt=urn:btih:03e587886aac342c83fbc2d63add47300422d59e&dn=[电影天堂www.dytt8899.com]绿衣骑士-2021_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
黑寡妇,2021-07-07(中国香港)/2021-07-09(美国/美国网络),magnet:?xt=urn:btih:73d518eb04f9a769ca86e47d6cc2838bedef9ead&dn=[电影天堂www.dytt8899.com]黑寡妇-2021_BD国英双语中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
梅根2.0,2025-06-27(美国),magnet:?xt=urn:btih:76dc9c7334aee9f01845fa763903c67a8b8094ed&dn=[电影天堂www.dytt8899.com]梅根2.0-2025_HD中英双字修正版V2.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
时间之子,2025-05-30(中国大陆),magnet:?xt=urn:btih:82dd918ebf2fe40a82b28d02300672e6764f0681&dn=[电影天堂www.dytt8899.com]时间之子-2025_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
雷霆特攻队*,2025-04-30(中国大陆)/2025-05-02(美国),magnet:?xt=urn:btih:180437187fef312b33053f6d64ea1f47b40f3b76&dn=[电影天堂www.dytt8899.com]雷霆特攻队-2025_BD国英双语中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
制暴：无限杀机,2025-03-28(美国/中国大陆),magnet:?xt=urn:btih:e0d26c5d345af5c22f81c366e6d273eeae6063e1&dn=[电影天堂www.dytt8899.com]制暴：无限杀机-2025_BD国英双语中英双字修正版.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
但愿人长久,2025-06-17(中国大陆)/2023-07-25(FIRST青年电影展),magnet:?xt=urn:btih:c35ba94e85c62808ddca4068b0bc9b3c80ac2ef1&dn=[电影天堂www.dytt8899.com]但愿人长久-2023_HD国语中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
私家侦探,2025-05-31(中国大陆)/2025-06-12(中国香港),magnet:?xt=urn:btih:f27c51ee3bef9145d93be738ba023d83dfd28f37&dn=[电影天堂www.dytt8899.com]私家侦探-2025_HD国粤双语中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
死神来了6：血脉诅咒,2025(中国大陆)/2025-05-14(法国)/2025-05-16(美国),magnet:?xt=urn:btih:7417b80be73d6f079d5c3181a4616b3e01d52e7b&dn=[电影天堂www.dytt8899.com]死神来了6：血脉诅咒-2025_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
斗罗大陆剧场版 剑道尘心,2025-07-12(中国大陆),magnet:?xt=urn:btih:492f87b2221c7bab87e86dcacbd09c3a97a3c513&dn=[电影天堂www.dytt8899.com]斗罗大陆剧场版 剑道尘心-2025_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
唐探1900,2025-01-29(中国大陆),magnet:?xt=urn:btih:d90cc7530f109af6dc04f699aeda4fec53fc6441&dn=[电影天堂www.dytt8899.com]唐探1900-2025_BD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
罪人,2025-04-16(法国)/2025-04-18(美国),magnet:?xt=urn:btih:90a366279c36bad919b32591594a71e6e8547596&dn=[电影天堂www.dytt8899.com]罪人-2025_BD英语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
入侵者们的晚餐,2024-01-03(日本),magnet:?xt=urn:btih:3702f7e0de6fbcc45f03dec80524ba8f903a6a1f&dn=[电影天堂www.dytt8899.com]入侵者们的晚餐-2024_HD日语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
红楼梦之金玉良缘,2024-08-16(中国大陆),magnet:?xt=urn:btih:efc5777b279420ee37f7eb33c4e64e480609af46&dn=[电影天堂www.dytt8899.com]红楼梦之金玉良缘-2024_HD国语中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
